SEL;DTVENCIMENTO;NRDUPLICATA;DTENTRADA;CDLOJA;VLRCONTA;CDFORNECEDOR;CGC_CPF;DESCRICAO;OBS;
S;17/09/2020;140108-1;19/08/2020;1;494,31;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140108-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;14/09/2020;318549-1;19/08/2020;1;766,52;158;93567444000194;DARTORA  IRMAO LTDA;Nota(s) Fiscal(is): 318549-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;17/09/2020;140111-1;19/08/2020;1;1025,38;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140111-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;22/09/2020;140098-1;19/08/2020;1;379,76;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140098-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;22/09/2020;140101-1;19/08/2020;1;204,34;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140101-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;22/09/2020;140103-1;19/08/2020;1;385,08;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140103-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;28/09/2020;140100-1;19/08/2020;1;65,41;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140100-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;28/09/2020;140102-1;19/08/2020;1;89,25;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140102-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;28/09/2020;140105-1;19/08/2020;1;74,12;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140105-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;29/09/2020;140099-1;19/08/2020;1;309,81;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140099-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;29/09/2020;140104-1;19/08/2020;1;366,00;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140104-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;17/10/2020;140109-1;19/08/2020;1;525,24;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140109-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;17/10/2020;140112-1;19/08/2020;1;1025,36;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140112-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;16/11/2020;140106-1;19/08/2020;1;140,78;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140106-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;16/11/2020;140110-1;19/08/2020;1;433,50;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140110-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;16/11/2020;140113-1;19/08/2020;1;1009,40;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140113-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;25/08/2020;140107-1;19/08/2020;1;346,53;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140107-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;22/09/2020;140107-2;19/08/2020;1;3375,61;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140107-2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;29/09/2020;140107-3;19/08/2020;1;3001,50;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140107-3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;16/11/2020;140107-5;19/08/2020;1;33,18;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140107-5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;16/12/2020;140107-6;19/08/2020;1;33,18;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140107-6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;17/10/2020;140107-4;19/08/2020;1;33,18;1;61940292004710;SANTA CRUZ DISTRIB MEDICAMENTOS;Nota(s) Fiscal(is): 140107-4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;15/09/2020;253078-1;19/08/2020;1;865,40;1057;19195971000243;DISPAR NST RS;Nota(s) Fiscal(is): 253078-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;15/09/2020;253594-1;19/08/2020;1;864,92;1057;19195971000243;DISPAR NST RS;Nota(s) Fiscal(is): 253594-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
